RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES,Stat Name
1,0,28237,Rory McIlroy,327.6,28827,88,Driving Distance
2,0,51491,Brandon Matthews,320.9,31447,98,Driving Distance
3,0,57366,Cameron Young,318.5,40762,128,Driving Distance
4,0,33948,Byeong Hun An,315.9,53707,170,Driving Distance
4,0,48867,Matti Schmid,315.9,30959,98,Driving Distance
6,0,52372,Cameron Champ,315.8,34104,108,Driving Distance
7,0,37378,Min Woo Lee,315.4,20187,64,Driving Distance
8,-1,49453,Trevor Cone,315,36545,116,Driving Distance
9,-1,51766,Wyndham Clark,314.5,51571,164,Driving Distance
10,-1,31323,Gary Woodland,313.8,43307,138,Driving Distance
11,-1,46970,Jon Rahm,313.5,34488,110,Driving Distance
12,-1,51070,Vincent Norrman,313,39436,126,Driving Distance
13,-1,52411,Kyle Westmoreland,312.6,34389,110,Driving Distance
14,-1,39546,Keith Mitchell,312.5,45004,144,Driving Distance
14,-1,24502,Adam Scott,312.5,31254,100,Driving Distance
16,-1,34255,Joseph Bramlett,312.2,48707,156,Driving Distance
17,-1,46601,Trey Mullinax,311.8,36794,118,Driving Distance
18,-1,45157,Cam Davis,311.2,37967,122,Driving Distance
19,-1,47504,Sam Burns,310.9,36691,118,Driving Distance
19,-1,46046,Scottie Scheffler,310.9,42286,136,Driving Distance
21,-1,27129,Luke List,310.8,44752,144,Driving Distance
22,-1,51414,Brent Grant,310.7,38521,124,Driving Distance
23,-1,56762,Will Gordon,310.5,52779,170,Driving Distance
24,-1,58168,Davis Thompson,310.2,43434,140,Driving Distance
25,-1,25632,Jimmy Walker,309.8,39658,128,Driving Distance
26,-1,55893,Sam Stevens,309.6,49543,160,Driving Distance
27,-1,48699,Callum Tarren,309.4,43935,142,Driving Distance
28,-1,36724,Augusto Núñez,309.3,38978,126,Driving Distance
29,-1,32333,Kevin Tway,309,47581,154,Driving Distance
30,-1,39067,MJ Daffue,308.9,48799,158,Driving Distance
31,-1,35450,Patrick Cantlay,308.7,33339,108,Driving Distance
32,-1,32102,Rickie Fowler,308.6,44445,144,Driving Distance
33,-1,40250,Taylor Pendrith,308.5,46280,150,Driving Distance
34,-1,45242,Kevin Yu,308.3,27749,90,Driving Distance
35,-1,54421,Garrick Higgo,308.2,50539,164,Driving Distance
36,-1,36699,Patrick Rodgers,307.7,52313,170,Driving Distance
37,-1,27554,Scott Harrington,307.6,34450,112,Driving Distance
38,-1,28420,Ryan Brehm,307.3,39333,128,Driving Distance
38,-1,20229,Stewart Cink,307.3,34422,112,Driving Distance
38,-1,33653,Thomas Detry,307.3,42406,138,Driving Distance
38,-1,46717,Viktor Hovland,307.3,41789,136,Driving Distance
42,-1,34363,Tyrrell Hatton,307.2,35632,116,Driving Distance
43,-1,47988,Nick Hardy,307,49113,160,Driving Distance
43,-1,50188,S.H. Kim,307,55877,182,Driving Distance
45,-1,40098,Matt Fitzpatrick,306.7,33742,110,Driving Distance
46,-1,48117,Kurt Kitayama,306.2,31843,104,Driving Distance
47,-1,12716,Charley Hoffman,306.1,34901,114,Driving Distance
47,-1,36799,Stephan Jaeger,306.1,57543,188,Driving Distance
49,-1,34374,Erik Barnes,305.8,25685,84,Driving Distance
49,-1,55454,Carl Yuan,305.8,33030,108,Driving Distance
51,-1,33448,Justin Thomas,305.5,34212,112,Driving Distance
52,-1,35461,Beau Hossler,305.1,48822,160,Driving Distance
53,-1,29725,Tony Finau,304.9,40253,132,Driving Distance
54,-1,47347,Adam Schenk,304.8,55475,182,Driving Distance
55,-1,55708,Hayden Buckley,304.4,38966,128,Driving Distance
55,-1,28089,Jason Day,304.4,38961,128,Driving Distance
57,-1,55789,Taylor Montgomery,304.3,46257,152,Driving Distance
57,-1,49947,Taylor Moore,304.3,48080,158,Driving Distance
57,-1,34046,Jordan Spieth,304.3,32864,108,Driving Distance
60,-1,29289,S.Y. Noh,304.2,33459,110,Driving Distance
60,-1,35617,Martin Trainer,304.2,24944,82,Driving Distance
62,-1,39977,Max Homa,303.9,37686,124,Driving Distance
63,-1,56630,Akshay Bhatia,303.8,31591,104,Driving Distance
63,-1,32662,Michael Gligic,303.8,29770,98,Driving Distance
65,-1,51634,Sahith Theegala,303.7,49801,164,Driving Distance
66,-1,37338,Zecheng Dou,303.5,43096,142,Driving Distance
66,-1,29970,Dylan Frittelli,303.5,35211,116,Driving Distance
66,-1,39335,Kevin Roy,303.5,33991,112,Driving Distance
66,-1,48081,Xander Schauffele,303.5,34601,114,Driving Distance
70,-1,39975,Michael Kim,303.3,45494,150,Driving Distance
71,-1,58967,Trevor Werbylo,303.1,37584,124,Driving Distance
72,-1,32366,Kevin Chappell,302.8,23012,76,Driving Distance
72,-1,48119,Ben Taylor,302.8,46031,152,Driving Distance
74,-1,30911,Tommy Fleetwood,302.7,32690,108,Driving Distance
74,-1,47995,Davis Riley,302.7,44796,148,Driving Distance
76,-1,33141,Keegan Bradley,302.6,38730,128,Driving Distance
76,-1,33204,Shane Lowry,302.6,31471,104,Driving Distance
78,-1,33597,Harry Higgs,302.5,37505,124,Driving Distance
78,-1,40006,Erik van Rooyen,302.5,32669,108,Driving Distance
80,-1,31577,Tano Goya,302,38651,128,Driving Distance
80,-1,46340,Alex Smalley,302,53144,176,Driving Distance
82,-1,54591,Ben Griffin,301.8,48897,162,Driving Distance
83,-1,39058,Lucas Herbert,301.5,22917,76,Driving Distance
83,-1,23320,Ryan Palmer,301.5,34367,114,Driving Distance
83,-1,49964,Aaron Wise,301.5,25933,86,Driving Distance
86,-1,31646,Emiliano Grillo,301.4,50030,166,Driving Distance
87,-1,32757,Patton Kizzire,301.1,42160,140,Driving Distance
88,-1,39997,Corey Conners,300.7,37292,124,Driving Distance
88,-1,46442,Maverick McNealy,300.7,34279,114,Driving Distance
90,-1,51349,Nico Echavarria,300.3,34835,116,Driving Distance
90,-1,28252,Seamus Power,300.3,43248,144,Driving Distance
90,-1,48887,Matt Wallace,300.3,37233,124,Driving Distance
93,-1,57362,Austin Eckroat,300.1,44408,148,Driving Distance
93,-1,30692,Scott Stallings,300.1,37218,124,Driving Distance
95,-1,39954,Cody Gribble,299.8,28783,96,Driving Distance
95,-1,27349,Alex Noren,299.8,33576,112,Driving Distance
97,-1,54628,Lee Hodges,299.6,48539,162,Driving Distance
97,-1,35506,Mackenzie Hughes,299.6,35356,118,Driving Distance
99,-1,59018,Ryan Gerard,299.4,25146,84,Driving Distance
100,-1,50095,Austin Smotherman,299,43062,144,Driving Distance
101,-1,49960,Sepp Straka,298.9,44240,148,Driving Distance
102,-1,25686,Jason Dufner,298.8,37648,126,Driving Distance
102,-1,57975,Harry Hall,298.8,45415,152,Driving Distance
102,-1,32791,K.H. Lee,298.8,44825,150,Driving Distance
105,-1,29221,Webb Simpson,298.5,26863,90,Driving Distance
106,-1,39324,J.J. Spaun,298.4,41781,140,Driving Distance
107,-1,33408,Tyson Alexander,298.3,38783,130,Driving Distance
107,-1,39971,Sungjae Im,298.3,45338,152,Driving Distance
107,-1,47128,Richy Werenski,298.3,41167,138,Driving Distance
110,-1,55182,Tom Kim,298.2,39361,132,Driving Distance
111,-1,27095,Nick Watney,298,33378,112,Driving Distance
112,-1,29420,Billy Horschel,297.8,28587,96,Driving Distance
113,-1,47591,Eric Cole,297.7,51197,172,Driving Distance
113,-1,54783,Dylan Wu,297.7,46445,156,Driving Distance
115,-1,34563,Chesson Hadley,297.5,39264,132,Driving Distance
116,-1,30926,Chris Kirk,297.3,43993,148,Driving Distance
116,-1,51997,Andrew Novak,297.3,39834,134,Driving Distance
118,-1,32448,James Hahn,297.1,35648,120,Driving Distance
119,-1,34431,Robert Streb,296.9,32655,110,Driving Distance
120,-1,45609,Tyler Duncan,296.8,40366,136,Driving Distance
120,-1,49766,Hank Lebioda,296.8,25521,86,Driving Distance
120,-1,49771,J.T. Poston,296.8,40371,136,Driving Distance
123,-1,34099,Harris English,296.7,46880,158,Driving Distance
124,-1,49298,Kramer Hickok,296.4,39718,134,Driving Distance
124,-1,37455,Si Woo Kim,296.4,45060,152,Driving Distance
126,-1,32839,Hideki Matsuyama,296.1,40272,136,Driving Distance
127,-1,52375,Doug Ghim,295.9,39656,134,Driving Distance
127,-1,47993,Denny McCarthy,295.9,49709,168,Driving Distance
127,-1,27214,Kevin Streelman,295.9,46163,156,Driving Distance
127,-1,52513,Carson Young,295.9,45574,154,Driving Distance
131,-1,50493,Justin Suh,295.8,52060,176,Driving Distance
132,-1,28775,Nate Lashley,295.6,46698,158,Driving Distance
133,-1,34466,Peter Malnati,295.1,39537,134,Driving Distance
133,-1,51890,Greyson Sigg,295.1,48992,166,Driving Distance
135,-1,23108,Matt Kuchar,295,39532,134,Driving Distance
136,-1,52374,Brandon Wu,294.9,47776,162,Driving Distance
137,-1,22405,Justin Rose,294.7,33007,112,Driving Distance
138,-1,35532,Tom Hoge,294.6,44774,152,Driving Distance
138,-1,33413,Ben Martin,294.6,46550,158,Driving Distance
140,-1,27644,Brian Harman,294.5,40636,138,Driving Distance
141,-1,50525,Collin Morikawa,294.4,37099,126,Driving Distance
142,-1,33399,Adam Hadwin,294.3,42383,144,Driving Distance
143,-1,36871,Matt NeSmith,294.1,41759,142,Driving Distance
144,-1,40162,Justin Lower,293.4,45190,154,Driving Distance
145,-1,25818,Scott Piercy,293.3,42235,144,Driving Distance
145,-1,46414,Aaron Rai,293.3,49857,170,Driving Distance
147,-1,47079,Harrison Endycott,293.2,39284,134,Driving Distance
148,-1,25900,Lucas Glover,293,41018,140,Driving Distance
149,-1,37275,Sam Ryder,292.9,42762,146,Driving Distance
149,-1,25493,Nick Taylor,292.9,39248,134,Driving Distance
151,-1,34610,Matthias Schwab,292.5,45045,154,Driving Distance
152,-1,40115,Adam Svensson,292.4,50285,172,Driving Distance
153,-1,53165,Doc Redman,292.3,29232,100,Driving Distance
153,-1,32139,Danny Willett,292.3,34495,118,Driving Distance
155,-1,34076,Joel Dahmen,292.2,42083,144,Driving Distance
156,-1,27936,Martin Laird,292,35039,120,Driving Distance
157,-1,47983,Chad Ramey,291.8,46099,158,Driving Distance
158,-1,32640,Troy Merritt,291.7,36169,124,Driving Distance
159,-1,36801,Mark Hubbard,291.6,50153,172,Driving Distance
159,-1,24024,Zach Johnson,291.6,33823,116,Driving Distance
159,-1,46441,Robby Shelton,291.6,46662,160,Driving Distance
162,-1,25198,Francesco Molinari,291.3,24467,84,Driving Distance
163,-1,36326,David Lipsky,291.2,43673,150,Driving Distance
164,-1,30163,Henrik Norlander,290.9,37820,130,Driving Distance
164,-1,24140,Sean O'Hair,290.9,22112,76,Driving Distance
166,-1,45522,Christiaan Bezuidenhout,290.7,39530,136,Driving Distance
166,-1,34098,Russell Henley,290.7,36042,124,Driving Distance
168,-1,31557,Jim Herman,290.1,30750,106,Driving Distance
168,-1,27963,Chris Stroud,290.1,24948,86,Driving Distance
170,-1,24925,Jonathan Byrd,289.8,25505,88,Driving Distance
171,-1,35449,Adam Long,289.3,48024,166,Driving Distance
171,-1,32150,Michael Thompson,289.3,26040,90,Driving Distance
173,-1,29535,Brice Garnett,288.6,35791,124,Driving Distance
174,-1,26476,Chez Reavie,288.1,44936,156,Driving Distance
175,-1,33410,Andrew Landry,288,32834,114,Driving Distance
176,-1,22056,Cameron Percy,287.9,23604,82,Driving Distance
177,-1,51950,Max McGreevy,287,36734,128,Driving Distance
178,-1,32816,Satoshi Kodaira,286.2,22325,78,Driving Distance
179,-1,34256,Andrew Putnam,285.5,47395,166,Driving Distance
180,-1,33122,Russell Knox,285,46736,164,Driving Distance
181,-1,35879,Kelly Kraft,284.7,32453,114,Driving Distance
182,-1,26596,Ryan Moore,284.1,30117,106,Driving Distance
183,-1,30927,Brendon Todd,283.4,43075,152,Driving Distance
184,-1,19803,Ryan Armour,283.2,38513,136,Driving Distance
185,-1,46435,Austin Cook,282.8,33369,118,Driving Distance
185,-1,23983,Luke Donald,282.8,22061,78,Driving Distance
187,-1,35901,Paul Haley II,282.7,39578,140,Driving Distance
188,-1,22371,Aaron Baddeley,282.5,35024,124,Driving Distance
189,-1,40058,Zac Blair,279.1,29028,104,Driving Distance
190,-1,34409,David Lingmerth,277.6,36645,132,Driving Distance
191,-1,31560,Brian Stuard,271,26560,98,Driving Distance
