RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR,Stat Name
1,0,46046,Scottie Scheffler,73.94%,905,1224,-0.33,GIR %
2,0,45242,Kevin Yu,72.96%,591,810,-0.32,GIR %
3,0,46970,Jon Rahm,71.62%,709,990,-0.36,GIR %
4,0,50525,Collin Morikawa,70.63%,801,1134,-0.31,GIR %
5,0,39997,Corey Conners,70.16%,783,1116,-0.3,GIR %
6,0,55182,Tom Kim,70.03%,832,1188,-0.31,GIR %
7,0,54783,Dylan Wu,69.94%,982,1404,-0.29,GIR %
8,0,33122,Russell Knox,69.78%,1030,1476,-0.23,GIR %
9,0,56762,Will Gordon,69.74%,1067,1530,-0.29,GIR %
10,0,35450,Patrick Cantlay,69.65%,677,972,-0.36,GIR %
11,0,52375,Doug Ghim,69.57%,839,1206,-0.26,GIR %
12,0,46414,Aaron Rai,69.54%,1064,1530,-0.28,GIR %
13,0,46340,Alex Smalley,69.26%,1097,1584,-0.28,GIR %
14,0,49453,Trevor Cone,69.25%,723,1044,-0.26,GIR %
15,0,36799,Stephan Jaeger,69.09%,1169,1692,-0.29,GIR %
16,0,32102,Rickie Fowler,69.06%,895,1296,-0.34,GIR %
17,0,51070,Vincent Norrman,69.05%,783,1134,-0.29,GIR %
18,0,29725,Tony Finau,68.94%,819,1188,-0.32,GIR %
19,0,48081,Xander Schauffele,68.81%,706,1026,-0.34,GIR %
20,0,34255,Joseph Bramlett,68.52%,962,1404,-0.29,GIR %
21,0,27129,Luke List,68.44%,887,1296,-0.25,GIR %
22,0,33413,Ben Martin,68.42%,973,1422,-0.29,GIR %
23,0,56630,Akshay Bhatia,68.38%,640,936,-0.3,GIR %
24,0,28775,Nate Lashley,68.35%,972,1422,-0.3,GIR %
25,0,29535,Brice Garnett,68.10%,760,1116,-0.26,GIR %
26,0,51766,Wyndham Clark,68.09%,1005,1476,-0.33,GIR %
27,0,19803,Ryan Armour,68.06%,833,1224,-0.25,GIR %
28,0,27644,Brian Harman,68.04%,845,1242,-0.3,GIR %
29,0,49960,Sepp Straka,68.02%,906,1332,-0.28,GIR %
30,0,57366,Cameron Young,67.97%,783,1152,-0.32,GIR %
31,0,31323,Gary Woodland,67.95%,844,1242,-0.26,GIR %
32,0,25900,Lucas Glover,67.94%,856,1260,-0.26,GIR %
33,0,55708,Hayden Buckley,67.88%,782,1152,-0.28,GIR %
34,0,34098,Russell Henley,67.83%,757,1116,-0.27,GIR %
35,0,28089,Jason Day,67.80%,781,1152,-0.32,GIR %
36,0,31646,Emiliano Grillo,67.74%,1012,1494,-0.29,GIR %
36,0,23320,Ryan Palmer,67.74%,695,1026,-0.28,GIR %
36,0,34256,Andrew Putnam,67.74%,1012,1494,-0.28,GIR %
39,0,36724,Augusto Núñez,67.72%,768,1134,-0.25,GIR %
40,0,47988,Nick Hardy,67.71%,975,1440,-0.28,GIR %
41,0,32816,Satoshi Kodaira,67.66%,475,702,-0.27,GIR %
42,0,35532,Tom Hoge,67.62%,925,1368,-0.32,GIR %
43,0,45609,Tyler Duncan,67.57%,827,1224,-0.26,GIR %
44,0,40250,Taylor Pendrith,67.56%,912,1350,-0.25,GIR %
45,0,52372,Cameron Champ,67.39%,655,972,-0.25,GIR %
46,0,36871,Matt NeSmith,67.37%,861,1278,-0.25,GIR %
47,0,51890,Greyson Sigg,67.34%,1006,1494,-0.28,GIR %
48,0,39324,J.J. Spaun,67.30%,848,1260,-0.26,GIR %
49,0,30163,Henrik Norlander,67.26%,787,1170,-0.23,GIR %
50,0,32366,Kevin Chappell,67.25%,460,684,-0.28,GIR %
51,0,52513,Carson Young,67.24%,932,1386,-0.28,GIR %
52,0,32791,K.H. Lee,67.19%,907,1350,-0.29,GIR %
53,0,47993,Denny McCarthy,67.13%,1015,1512,-0.3,GIR %
54,0,26476,Chez Reavie,67.09%,942,1404,-0.25,GIR %
55,0,49771,J.T. Poston,67.08%,821,1224,-0.28,GIR %
56,0,27963,Chris Stroud,67.05%,519,774,-0.27,GIR %
57,0,32448,James Hahn,67.04%,724,1080,-0.26,GIR %
57,0,39975,Michael Kim,67.04%,905,1350,-0.25,GIR %
59,0,33399,Adam Hadwin,66.98%,868,1296,-0.3,GIR %
60,0,55893,Sam Stevens,66.94%,964,1440,-0.29,GIR %
61,0,33141,Keegan Bradley,66.84%,770,1152,-0.33,GIR %
62,0,28237,Rory McIlroy,66.79%,529,792,-0.33,GIR %
63,0,12716,Charley Hoffman,66.76%,685,1026,-0.25,GIR %
64,0,46717,Viktor Hovland,66.75%,817,1224,-0.33,GIR %
65,0,31577,Tano Goya,66.67%,768,1152,-0.28,GIR %
65,0,39977,Max Homa,66.67%,744,1116,-0.35,GIR %
65,0,39971,Sungjae Im,66.67%,912,1368,-0.33,GIR %
65,0,47347,Adam Schenk,66.67%,1092,1638,-0.27,GIR %
69,0,39067,MJ Daffue,66.60%,947,1422,-0.29,GIR %
69,0,52374,Brandon Wu,66.60%,971,1458,-0.31,GIR %
71,0,47995,Davis Riley,66.59%,887,1332,-0.28,GIR %
72,0,39335,Kevin Roy,66.57%,671,1008,-0.28,GIR %
73,0,54421,Garrick Higgo,66.53%,982,1476,-0.29,GIR %
74,0,53165,Doc Redman,66.44%,598,900,-0.23,GIR %
75,0,48699,Callum Tarren,66.43%,849,1278,-0.28,GIR %
76,0,36801,Mark Hubbard,66.41%,1028,1548,-0.29,GIR %
77,0,22056,Cameron Percy,66.40%,490,738,-0.22,GIR %
78,0,22405,Justin Rose,66.37%,669,1008,-0.32,GIR %
79,0,29289,S.Y. Noh,66.36%,657,990,-0.31,GIR %
80,0,32839,Hideki Matsuyama,66.34%,812,1224,-0.3,GIR %
81,0,51414,Brent Grant,66.31%,740,1116,-0.26,GIR %
82,0,27936,Martin Laird,66.30%,716,1080,-0.26,GIR %
83,0,49766,Hank Lebioda,66.28%,513,774,-0.22,GIR %
83,0,39546,Keith Mitchell,66.28%,859,1296,-0.3,GIR %
85,0,33204,Shane Lowry,66.24%,620,936,-0.28,GIR %
86,0,28252,Seamus Power,66.20%,858,1296,-0.32,GIR %
87,0,34563,Chesson Hadley,66.16%,786,1188,-0.29,GIR %
88,0,25686,Jason Dufner,66.05%,749,1134,-0.23,GIR %
89,0,37338,Zecheng Dou,66.04%,844,1278,-0.27,GIR %
89,0,31557,Jim Herman,66.04%,630,954,-0.22,GIR %
89,0,26596,Ryan Moore,66.04%,630,954,-0.26,GIR %
92,0,57975,Harry Hall,66.01%,903,1368,-0.31,GIR %
93,0,49298,Kramer Hickok,66.00%,796,1206,-0.22,GIR %
93,0,24024,Zach Johnson,66.00%,689,1044,-0.23,GIR %
95,0,32333,Kevin Tway,65.95%,914,1386,-0.27,GIR %
96,0,40115,Adam Svensson,65.89%,1020,1548,-0.28,GIR %
97,0,37455,Si Woo Kim,65.86%,901,1368,-0.3,GIR %
98,0,30926,Chris Kirk,65.84%,877,1332,-0.31,GIR %
98,0,55454,Carl Yuan,65.84%,640,972,-0.3,GIR %
100,0,24925,Jonathan Byrd,65.78%,521,792,-0.26,GIR %
100,0,36326,David Lipsky,65.78%,888,1350,-0.26,GIR %
102,0,57362,Austin Eckroat,65.77%,876,1332,-0.29,GIR %
103,0,51997,Andrew Novak,65.75%,793,1206,-0.26,GIR %
104,0,40006,Erik van Rooyen,65.74%,639,972,-0.27,GIR %
105,0,34363,Tyrrell Hatton,65.71%,686,1044,-0.34,GIR %
106,0,24140,Sean O'Hair,65.64%,449,684,-0.26,GIR %
107,0,34374,Erik Barnes,65.61%,496,756,-0.28,GIR %
108,0,58168,Davis Thompson,65.56%,826,1260,-0.3,GIR %
109,0,34046,Jordan Spieth,65.53%,637,972,-0.31,GIR %
110,0,45157,Cam Davis,65.48%,719,1098,-0.29,GIR %
111,0,39954,Cody Gribble,65.28%,564,864,-0.28,GIR %
111,0,33448,Justin Thomas,65.28%,658,1008,-0.3,GIR %
113,0,25493,Nick Taylor,65.26%,787,1206,-0.32,GIR %
114,0,34076,Joel Dahmen,65.20%,845,1296,-0.27,GIR %
115,0,47983,Chad Ramey,65.19%,927,1422,-0.27,GIR %
116,0,52411,Kyle Westmoreland,65.15%,645,990,-0.26,GIR %
117,0,22371,Aaron Baddeley,65.14%,727,1116,-0.31,GIR %
118,0,40098,Matt Fitzpatrick,65.05%,644,990,-0.31,GIR %
119,0,54591,Ben Griffin,65.02%,948,1458,-0.31,GIR %
120,0,23108,Matt Kuchar,64.93%,783,1206,-0.27,GIR %
121,0,49947,Taylor Moore,64.91%,923,1422,-0.28,GIR %
122,0,20229,Stewart Cink,64.88%,654,1008,-0.28,GIR %
122,0,27554,Scott Harrington,64.88%,654,1008,-0.27,GIR %
124,0,40162,Justin Lower,64.86%,899,1386,-0.3,GIR %
125,0,36699,Patrick Rodgers,64.77%,991,1530,-0.3,GIR %
126,0,27214,Kevin Streelman,64.74%,909,1404,-0.25,GIR %
127,0,51634,Sahith Theegala,64.70%,955,1476,-0.33,GIR %
128,0,33597,Harry Higgs,64.61%,721,1116,-0.32,GIR %
129,0,30692,Scott Stallings,64.52%,720,1116,-0.25,GIR %
130,0,47079,Harrison Endycott,64.51%,778,1206,-0.28,GIR %
130,0,35461,Beau Hossler,64.51%,929,1440,-0.3,GIR %
132,0,45522,Christiaan Bezuidenhout,64.46%,789,1224,-0.28,GIR %
133,0,48867,Matti Schmid,64.40%,568,882,-0.29,GIR %
134,0,24502,Adam Scott,64.33%,579,900,-0.34,GIR %
134,0,48119,Ben Taylor,64.33%,880,1368,-0.28,GIR %
134,0,30927,Brendon Todd,64.33%,880,1368,-0.31,GIR %
137,0,48117,Kurt Kitayama,64.21%,601,936,-0.28,GIR %
138,0,54628,Lee Hodges,64.20%,936,1458,-0.27,GIR %
139,0,51491,Brandon Matthews,64.17%,566,882,-0.26,GIR %
140,0,32150,Michael Thompson,64.07%,519,810,-0.27,GIR %
141,0,50493,Justin Suh,64.02%,1014,1584,-0.3,GIR %
142,0,34099,Harris English,63.71%,906,1422,-0.27,GIR %
143,0,40058,Zac Blair,63.68%,596,936,-0.27,GIR %
144,0,47591,Eric Cole,63.57%,984,1548,-0.34,GIR %
144,0,32757,Patton Kizzire,63.57%,801,1260,-0.31,GIR %
146,0,33653,Thomas Detry,63.45%,788,1242,-0.32,GIR %
147,0,35449,Adam Long,63.39%,947,1494,-0.28,GIR %
148,0,25818,Scott Piercy,63.35%,821,1296,-0.3,GIR %
149,0,35901,Paul Haley II,63.33%,798,1260,-0.27,GIR %
149,0,34431,Robert Streb,63.33%,627,990,-0.26,GIR %
151,0,30911,Tommy Fleetwood,63.17%,614,972,-0.32,GIR %
151,0,58967,Trevor Werbylo,63.17%,705,1116,-0.27,GIR %
153,0,33948,Byeong Hun An,63.14%,966,1530,-0.32,GIR %
153,0,35617,Martin Trainer,63.14%,466,738,-0.28,GIR %
155,0,50095,Austin Smotherman,63.12%,818,1296,-0.29,GIR %
156,0,46441,Robby Shelton,63.06%,908,1440,-0.3,GIR %
157,0,48887,Matt Wallace,62.99%,703,1116,-0.27,GIR %
158,0,25632,Jimmy Walker,62.85%,724,1152,-0.26,GIR %
159,0,46435,Austin Cook,62.71%,666,1062,-0.24,GIR %
160,0,32662,Michael Gligic,62.70%,553,882,-0.24,GIR %
161,0,27349,Alex Noren,62.60%,631,1008,-0.27,GIR %
162,0,59018,Ryan Gerard,62.57%,473,756,-0.3,GIR %
163,0,34610,Matthias Schwab,62.55%,867,1386,-0.26,GIR %
164,0,50188,S.H. Kim,62.52%,1024,1638,-0.31,GIR %
165,0,51349,Nico Echavarria,62.45%,652,1044,-0.29,GIR %
166,0,32139,Danny Willett,62.34%,662,1062,-0.27,GIR %
167,0,49964,Aaron Wise,62.27%,482,774,-0.35,GIR %
168,0,47504,Sam Burns,62.15%,660,1062,-0.34,GIR %
169,0,37275,Sam Ryder,62.10%,816,1314,-0.34,GIR %
169,0,27095,Nick Watney,62.10%,626,1008,-0.26,GIR %
171,0,33408,Tyson Alexander,62.05%,726,1170,-0.26,GIR %
172,0,35506,Mackenzie Hughes,61.96%,658,1062,-0.29,GIR %
173,0,32640,Troy Merritt,61.83%,690,1116,-0.26,GIR %
174,0,28420,Ryan Brehm,61.81%,712,1152,-0.26,GIR %
174,0,29420,Billy Horschel,61.81%,534,864,-0.28,GIR %
176,0,29221,Webb Simpson,61.73%,500,810,-0.28,GIR %
177,0,35879,Kelly Kraft,61.70%,633,1026,-0.26,GIR %
178,0,37378,Min Woo Lee,61.63%,355,576,-0.32,GIR %
179,-1,33410,Andrew Landry,61.50%,631,1026,-0.25,GIR %
180,-1,46601,Trey Mullinax,61.49%,653,1062,-0.26,GIR %
181,-1,46442,Maverick McNealy,61.40%,630,1026,-0.31,GIR %
182,-1,47128,Richy Werenski,61.11%,759,1242,-0.32,GIR %
183,-1,34409,David Lingmerth,61.03%,725,1188,-0.28,GIR %
184,-1,25198,Francesco Molinari,60.98%,461,756,-0.21,GIR %
185,-1,55789,Taylor Montgomery,60.75%,831,1368,-0.38,GIR %
186,-1,23983,Luke Donald,60.26%,423,702,-0.23,GIR %
187,-1,31560,Brian Stuard,59.75%,527,882,-0.26,GIR %
188,-1,39058,Lucas Herbert,59.65%,408,684,-0.3,GIR %
189,-1,34466,Peter Malnati,59.62%,719,1206,-0.29,GIR %
190,-1,29970,Dylan Frittelli,59.39%,620,1044,-0.28,GIR %
191,-1,51950,Max McGreevy,59.11%,681,1152,-0.26,GIR %
